locus_tag	old_locus_tag	pf_name	description
PFDSM3638_RS03605	PFDSM3638_03595	PF0724	thioredoxin
PFDSM3638_RS03610	PFDSM3638_03600	PF0725	CoA-binding protein
PFDSM3638_RS03615	PFDSM3638_03605	PF0726	DUF302 domain-containing protein
PFDSM3638_RS03620	PFDSM3638_03610	PF0727	copper chaperone
PFDSM3638_RS03625	PFDSM3638_03615	PF0728	class I SAM-dependent methyltransferase
PFDSM3638_RS03630	PFDSM3638_03620	PF0729	copper oxidase
PFDSM3638_RS03635	PFDSM3638_03625	PF0730	hypothetical protein
PFDSM3638_RS03645	PFDSM3638_03635	PF0732	ABC transporter ATP-binding protein
PFDSM3638_RS03650	PFDSM3638_03640	NA	NA
PFDSM3638_RS10590		NA	NA
PFDSM3638_RS03655	PFDSM3638_03645	PF0733	ABC transporter ATP-binding protein
PFDSM3638_RS03660	PFDSM3638_03650	PF0734	hypothetical protein
PFDSM3638_RS03665	PFDSM3638_03655	PF0735	hypothetical protein
PFDSM3638_RS03670	PFDSM3638_03660	PF0736	hypothetical protein
PFDSM3638_RS03675		NA	NA
PFDSM3638_RS03680	PFDSM3638_03670	PF0737	hypothetical protein
PFDSM3638_RS03685	PFDSM3638_03675	PF0738	methyltransferase type 11
PFDSM3638_RS03690	PFDSM3638_03680	PF0738.1n	hypothetical protein
PFDSM3638_RS10595		NA	NA
PFDSM3638_RS03700	PFDSM3638_03690	PF0739	AsnC family transcriptional regulator
PFDSM3638_RS03705	PFDSM3638_03695	PF0740	copper-translocating P-type ATPase
PFDSM3638_RS03710	PFDSM3638_03700	PF0741	thioredoxin
PFDSM3638_RS03715	PFDSM3638_03705	PF0742	ferritin
PFDSM3638_RS03720	PFDSM3638_03710	PF0743	hypothetical protein
PFDSM3638_RS03725	PFDSM3638_03715	PF0744	ABC transporter ATP-binding protein
PFDSM3638_RS03730	PFDSM3638_03720	PF0745	hypothetical protein
PFDSM3638_RS03735	PFDSM3638_03725	PF0746	ZIP family metal transporter
PFDSM3638_RS03740	PFDSM3638_03730	PF0747	aminopeptidase P family protein
PFDSM3638_RS03745	PFDSM3638_03735	PF0750	nitroreductase
PFDSM3638_RS03750	PFDSM3638_03740	PF0751	FprA family A-type flavoprotein
PFDSM3638_RS03755	PFDSM3638_03745	PF0752	peroxiredoxin
PFDSM3638_RS03760	PFDSM3638_03750	PF0753	2-oxoacid ferredoxin oxidoreductase
PFDSM3638_RS03765	PFDSM3638_03755	PF0754	2-oxoacid:acceptor oxidoreductase subunit alpha
PFDSM3638_RS03770	PFDSM3638_03760	PF0755	NADP-dependent glyceraldehyde-3-phosphate dehydrogenase
PFDSM3638_RS03775	PFDSM3638_03765	PF0756	IS6 family transposase ISPfu2
PFDSM3638_RS03785	PFDSM3638_03775	PF0759	hypothetical protein
PFDSM3638_RS03790	PFDSM3638_03780	PF0760	transposase
PFDSM3638_RS03810	PFDSM3638_03800	PF0765	nucleotide sugar dehydrogenase
PFDSM3638_RS03815	PFDSM3638_03805	PF0766	gfo/Idh/MocA family oxidoreductase
PFDSM3638_RS03820	PFDSM3638_03810	PF0767	DegT/DnrJ/EryC1/StrS family aminotransferase
PFDSM3638_RS03830	PFDSM3638_03820	PF0769	glycosyl transferase
PFDSM3638_RS03835	PFDSM3638_03825	PF0770	UTP--glucose-1-phosphate uridylyltransferase
PFDSM3638_RS03840	PFDSM3638_03830	PF0771	UDP-glucose/GDP-mannose dehydrogenase family protein
PFDSM3638_RS03845	PFDSM3638_03835	PF0772	nucleotidyltransferase domain-containing protein
PFDSM3638_RS03855	PFDSM3638_03840	PF0774	antitoxin
PFDSM3638_RS03860	PFDSM3638_03845	NA	NA
PFDSM3638_RS03875	PFDSM3638_03860	PF0776.1n	hypothetical protein
PFDSM3638_RS03880	PFDSM3638_03865	PF0778	hypothetical protein
PFDSM3638_RS03885	PFDSM3638_03870	PF0779	DUF104 domain-containing protein
PFDSM3638_RS03890	PFDSM3638_03875	PF0780	IS6 family transposase ISPfu2
PFDSM3638_RS03895	PFDSM3638_03880	NA	NA
PFDSM3638_RS03900	PFDSM3638_03885	PF0781	PIN domain-containing protein
PFDSM3638_RS03905	PFDSM3638_03890	PF0782	hypothetical protein
PFDSM3638_RS03910	PFDSM3638_03895	PF0783	hypothetical protein
PFDSM3638_RS03915	PFDSM3638_03900	PF0784	hypothetical protein
PFDSM3638_RS03920	PFDSM3638_03905	PF0785	IS6 family transposase ISPfu5
PFDSM3638_RS03925	PFDSM3638_03910	PF0785.2n	hypothetical protein
PFDSM3638_RS03930	PFDSM3638_03915	PF0786	IS982 family transposase
PFDSM3638_RS03935	PFDSM3638_03920	PF0787	hypothetical protein
PFDSM3638_RS03940	PFDSM3638_03925	PF0788	glycosyltransferase family 1 protein
PFDSM3638_RS03945	PFDSM3638_03930	PF0789	hypothetical protein
PFDSM3638_RS03950	PFDSM3638_03935	PF0790	hypothetical protein
PFDSM3638_RS03955	PFDSM3638_03940	PF0791	glycosyltransferase family 4 protein
PFDSM3638_RS03960	PFDSM3638_03945	PF0792	asparagine synthase
PFDSM3638_RS03965	PFDSM3638_03950	PF0793	hypothetical protein
PFDSM3638_RS03970	PFDSM3638_03955	PF0794	UDP-N-acetylglucosamine 2-epimerase (non-hydrolyzing)
PFDSM3638_RS03975	PFDSM3638_03960	PF0795	capsular biosynthesis protein
PFDSM3638_RS03980	PFDSM3638_03965	PF0796	galactoside O-acetyltransferase
PFDSM3638_RS03985	PFDSM3638_03970	PF0797	GNAT family N-acetyltransferase
PFDSM3638_RS03990	PFDSM3638_03975	PF0798	glycosyltransferase family 2 protein
PFDSM3638_RS03995	PFDSM3638_03980	PF0799	hypothetical protein
PFDSM3638_RS04005	PFDSM3638_03990	PF0802	hypothetical protein
PFDSM3638_RS04010	PFDSM3638_03995	PF0803	DUF58 domain-containing protein
PFDSM3638_RS04015	PFDSM3638_04000	PF0804	MoxR family ATPase
PFDSM3638_RS04025	PFDSM3638_04010	PF0807	hypothetical protein
PFDSM3638_RS04030	PFDSM3638_04015	PF0808	hypothetical protein
PFDSM3638_RS04035	PFDSM3638_04020	PF0809	hypothetical protein
PFDSM3638_RS04040	PFDSM3638_04025	PF0810	DUF1616 domain-containing protein
PFDSM3638_RS04045	PFDSM3638_04030	PF0811	hypothetical protein
PFDSM3638_RS04050	PFDSM3638_04035	PF0812	PIN domain-containing protein
PFDSM3638_RS04055	PFDSM3638_04040	PF0813	AbrB family transcriptional regulator
PFDSM3638_RS04060	PFDSM3638_04045	PF0814	hypothetical protein
PFDSM3638_RS04075	PFDSM3638_04055	PF0816	mechanosensitive ion channel family protein
PFDSM3638_RS04080	PFDSM3638_04060	PF0817	IS6 family transposase ISPfu2
PFDSM3638_RS04095	PFDSM3638_04075	PF0818	histone deacetylase family protein
PFDSM3638_RS04100	PFDSM3638_04080	PF0819	50S ribosomal protein L14e
PFDSM3638_RS04105	PFDSM3638_04085	PF0820	cytidylate kinase
PFDSM3638_RS04110	PFDSM3638_04090	PF0821	50S ribosomal protein L34e
PFDSM3638_RS04115	PFDSM3638_04095	PF0822	hypothetical protein
PFDSM3638_RS04120	PFDSM3638_04100	PF0823	MATE family efflux transporter
PFDSM3638_RS04125	PFDSM3638_04105	PF0824	MATE family efflux transporter
PFDSM3638_RS04130	PFDSM3638_04110	PF0825	S9 family peptidase
PFDSM3638_RS04135	PFDSM3638_04115	PF0826	MFS transporter
PFDSM3638_RS04140	PFDSM3638_04120	PF0827	23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD
PFDSM3638_RS04145	PFDSM3638_04125	PF0828	TIGR00289 family protein
PFDSM3638_RS04150	PFDSM3638_04130	PF0829	hypothetical protein
PFDSM3638_RS04155	PFDSM3638_04135	PF0830	hypothetical protein
PFDSM3638_RS04160	PFDSM3638_04140	PF0831	DUF1624 domain-containing protein
PFDSM3638_RS04170		NA	NA
PFDSM3638_RS04180	PFDSM3638_04150	PF0834	multidrug transporter
PFDSM3638_RS04185	PFDSM3638_04155	PF0835	ABC transporter ATP-binding protein
PFDSM3638_RS04195	PFDSM3638_04165	PF0838	DUF2281 domain-containing protein
PFDSM3638_RS04200	PFDSM3638_04170	PF0839	PIN domain-containing protein
PFDSM3638_RS04210	PFDSM3638_04180	PF0841	hypothetical protein
PFDSM3638_RS04215	PFDSM3638_04185	NA	NA
PFDSM3638_RS04220	PFDSM3638_04190	PF0842	hypothetical protein
PFDSM3638_RS04225	PFDSM3638_04195	PF0842.1n	DUF4268 domain-containing protein
PFDSM3638_RS04230	PFDSM3638_04200	PF0843	radical SAM protein
PFDSM3638_RS04235	PFDSM3638_04205	PF0844	hypothetical protein
PFDSM3638_RS04240	PFDSM3638_04210	PF0845	indolepyruvate ferredoxin oxidoreductase subunit alpha
PFDSM3638_RS04245	PFDSM3638_04215	PF0846	amidohydrolase
PFDSM3638_RS04250	PFDSM3638_04220	PF0847	SAM-dependent methyltransferase
PFDSM3638_RS04255	PFDSM3638_04225	PF0848	hypothetical protein
PFDSM3638_RS04260	PFDSM3638_04230	PF0849	DUF512 domain-containing protein
PFDSM3638_RS04265	PFDSM3638_04235	PF0850	radical SAM protein
PFDSM3638_RS04270	PFDSM3638_04240	PF0851	metal-dependent transcriptional regulator
PFDSM3638_RS04275	PFDSM3638_04245	PF0852	NCS2 family permease
PFDSM3638_RS04280	PFDSM3638_04250	PF0853	S-methyl-5'-thioadenosine phosphorylase
PFDSM3638_RS04290	PFDSM3638_04260	PF0854	1,4-beta-glucanase
PFDSM3638_RS04295	PFDSM3638_04265	PF0855	hypothetical protein
PFDSM3638_RS04305	PFDSM3638_04275	PF0856	type 2 isopentenyl-diphosphate Delta-isomerase
PFDSM3638_RS04310	PFDSM3638_04280	PF0855.1n	DNA-binding protein
PFDSM3638_RS04315	PFDSM3638_04285	PF0857	ferrous iron transport protein B
PFDSM3638_RS04320	PFDSM3638_04290	PF0858	ferrous iron transport protein A
PFDSM3638_RS04325	PFDSM3638_04295	PF0859	deoxyribonuclease
PFDSM3638_RS04330	PFDSM3638_04300	PF0860	hypothetical protein
PFDSM3638_RS04335	PFDSM3638_04305	PF0861	phosphoglucosamine mutase
PFDSM3638_RS04340	PFDSM3638_04310	PF0861.1n	hypothetical protein
PFDSM3638_RS04345	PFDSM3638_04315	NA	NA
PFDSM3638_RS04350	PFDSM3638_04320	PF0862	tyrosine--tRNA ligase
PFDSM3638_RS04355	PFDSM3638_04325	PF0863	CYTH domain-containing protein
PFDSM3638_RS04360	PFDSM3638_04330	PF0864	transcriptional regulator
PFDSM3638_RS04365	PFDSM3638_04335	PF0865	aromatic acid decarboxylase
PFDSM3638_RS04370	PFDSM3638_04340	PF0866	hypothetical protein
PFDSM3638_RS04375	PFDSM3638_04345	PF0867	hypothetical protein
PFDSM3638_RS04380	PFDSM3638_04350	PF0868	NDP-sugar synthase
PFDSM3638_RS04385	PFDSM3638_04355	PF0869	aspartate--tRNA(Asn) ligase
PFDSM3638_RS04390	PFDSM3638_04360	PF0870	glycoside hydrolase
PFDSM3638_RS04395	PFDSM3638_04365	PF0871	hypothetical protein
PFDSM3638_RS04400	PFDSM3638_04370	NA	NA
PFDSM3638_RS04405	PFDSM3638_04375	PF0874	membrane dipeptidase
PFDSM3638_RS04410	PFDSM3638_04380	PF0875	SAM-dependent methyltransferase
PFDSM3638_RS04415	PFDSM3638_04385	PF0876	50S ribosomal protein L15e
PFDSM3638_RS04425	PFDSM3638_04395	PF0880	ATP-binding protein
PFDSM3638_RS04430	PFDSM3638_04400	PF0881	ABC transporter ATP-binding protein
PFDSM3638_RS04435	PFDSM3638_04405	PF0882	hypothetical protein
PFDSM3638_RS04440	PFDSM3638_04410	PF0883	ABC transporter permease
PFDSM3638_RS04445	PFDSM3638_04415	PF0884	hypothetical protein
PFDSM3638_RS04450	PFDSM3638_04420	NA	NA
PFDSM3638_RS04460	PFDSM3638_04430	PF0886	DUF4855 domain-containing protein
PFDSM3638_RS04465	PFDSM3638_04435	PF0887	hypothetical protein
PFDSM3638_RS04470	PFDSM3638_04440	PF0888	hypothetical protein
PFDSM3638_RS04475	PFDSM3638_04445	PF0889	hypothetical protein
PFDSM3638_RS04480	PFDSM3638_04450	PF0890	leucine--tRNA ligase
PFDSM3638_RS04485	PFDSM3638_04455	PF0891	hydrogenase
PFDSM3638_RS04490	PFDSM3638_04460	PF0892	cytochrome-c3 hydrogenase subunit gamma
PFDSM3638_RS04495	PFDSM3638_04465	PF0893	sulfhydrogenase 1 subunit delta
PFDSM3638_RS04500	PFDSM3638_04470	PF0894	sulfhydrogenase 1 subunit alpha
PFDSM3638_RS04505	PFDSM3638_04475	PF0895	ABC transporter ATP-binding protein
PFDSM3638_RS04510	PFDSM3638_04480	PF0896	hypothetical protein
PFDSM3638_RS04515	PFDSM3638_04485	PF0897	hypothetical protein
PFDSM3638_RS04520	PFDSM3638_04490	PF0897.1n	hypothetical protein
PFDSM3638_RS04525	PFDSM3638_04495	PF0898	IS6 family transposase ISPfu5
PFDSM3638_RS04530	PFDSM3638_04500	PF0899	DUF1884 domain-containing protein
PFDSM3638_RS04535	PFDSM3638_04505	PF0900	HNH endonuclease
PFDSM3638_RS10600		NA	NA
PFDSM3638_RS04540	PFDSM3638_04510	PF0901	hypothetical protein
PFDSM3638_RS04545	PFDSM3638_04515	PF0902	hypothetical protein
PFDSM3638_RS04555	PFDSM3638_04525	PF0903	GHMP kinase
PFDSM3638_RS04560	PFDSM3638_04530	PF0904	N-glycosylase
PFDSM3638_RS04565	PFDSM3638_04535	PF0905	ABC transporter ATP-binding protein
PFDSM3638_RS04570	PFDSM3638_04540	PF0906	hypothetical protein
PFDSM3638_RS04575	PFDSM3638_04545	PF0907	translation factor
PFDSM3638_RS04580	PFDSM3638_04550	PF0908	metal-dependent hydrolase
PFDSM3638_RS04585	PFDSM3638_04555	PF0909	ABC transporter ATP-binding protein
PFDSM3638_RS04590	PFDSM3638_04560	PF0910	iron ABC transporter permease
PFDSM3638_RS04595	PFDSM3638_04565	PF0911	iron ABC transporter substrate-binding protein
PFDSM3638_RS04605	PFDSM3638_04575	PF0915	cytochrome c biogenesis protein CcdA
PFDSM3638_RS04610	PFDSM3638_04580	PF0916	hypothetical protein
PFDSM3638_RS04615	PFDSM3638_04585	PF0917	hypothetical protein
PFDSM3638_RS04620	PFDSM3638_04590	PF0918	tRNA pseudouridine(38-40) synthase TruA
PFDSM3638_RS10650	PFDSM3638_04595	PF0919	hypothetical protein
PFDSM3638_RS04635	PFDSM3638_04605	PF0921	ABC transporter ATP-binding protein
PFDSM3638_RS04640	PFDSM3638_04610	PF0922	hypothetical protein
PFDSM3638_RS04645	PFDSM3638_04615	PF0923	hypothetical protein
PFDSM3638_RS04650	PFDSM3638_04620	PF0924	hypothetical protein
PFDSM3638_RS04655	PFDSM3638_04625	PF0925	radical SAM protein
PFDSM3638_RS04660	PFDSM3638_04630	NA	NA
PFDSM3638_RS04665	PFDSM3638_04635	PF0926	hypothetical protein
PFDSM3638_RS04670	PFDSM3638_04640	PF0927	nucleotide-binding protein
PFDSM3638_RS04680	PFDSM3638_04650	PF0928	hypothetical protein
PFDSM3638_RS04685	PFDSM3638_04655	PF0929	hypothetical protein
PFDSM3638_RS04690	PFDSM3638_04660	PF0930	6-hydroxymethyl-7,8-dihydropterin pyrophosphokinase
PFDSM3638_RS04695	PFDSM3638_04665	PF0931	nucleoside-diphosphate kinase
PFDSM3638_RS04700	PFDSM3638_04670	PF0932	hypothetical protein
PFDSM3638_RS04705	PFDSM3638_04675	PF0933	DNA repair helicase
PFDSM3638_RS04710	PFDSM3638_04680	PF0934	hypothetical protein
PFDSM3638_RS04715	PFDSM3638_04685	PF0935	acetolactate synthase, large subunit, biosynthetic type
PFDSM3638_RS04720	PFDSM3638_04690	PF0936	ketol-acid reductoisomerase
PFDSM3638_RS04725	PFDSM3638_04695	PF0937	2-isopropylmalate synthase
PFDSM3638_RS04730	PFDSM3638_04700	PF0938	3-isopropylmalate dehydratase large subunit
PFDSM3638_RS04735	PFDSM3638_04705	PF0939	3-isopropylmalate dehydratase small subunit
PFDSM3638_RS04740	PFDSM3638_04710	PF0940	3-isopropylmalate dehydrogenase
PFDSM3638_RS04745	PFDSM3638_04715	PF0941	citramalate synthase
PFDSM3638_RS04750	PFDSM3638_04720	PF0942	dihydroxy-acid dehydratase
PFDSM3638_RS04755	PFDSM3638_04725	PF0943	HEPN domain-containing protein
PFDSM3638_RS04760	PFDSM3638_04730	PF0944	nucleotidyltransferase
PFDSM3638_RS04770	PFDSM3638_04740	PF0946	IS6 family transposase ISPfu1
PFDSM3638_RS04780	PFDSM3638_04750	PF0948	hypothetical protein
PFDSM3638_RS04785	PFDSM3638_04755	PF0949	hypothetical protein
PFDSM3638_RS10605		NA	NA
PFDSM3638_RS04790	PFDSM3638_04760	PF0951	hypothetical protein
PFDSM3638_RS04795	PFDSM3638_04765	PF0952	CGP-CTERM sorting domain-containing protein
PFDSM3638_RS04800	PFDSM3638_04770	PF0953	N-acetyltransferase
PFDSM3638_RS04805	PFDSM3638_04775	PF0954	hypothetical protein
PFDSM3638_RS04815	PFDSM3638_04785	PF0956	hypothetical protein
PFDSM3638_RS04820	PFDSM3638_04795	PF0958	DUF4143 domain-containing protein
PFDSM3638_RS10610		NA	NA
PFDSM3638_RS04825	PFDSM3638_04800	PF0958.3n	hypothetical protein
PFDSM3638_RS04830	PFDSM3638_04805	NA	NA
PFDSM3638_RS04835	PFDSM3638_04810	PF0959	hypothetical protein
PFDSM3638_RS04840	PFDSM3638_04815	PF0960	hypothetical protein
PFDSM3638_RS04860	PFDSM3638_04835	PF0962	hypothetical protein
PFDSM3638_RS04865	PFDSM3638_04840	PF0963	AAA family ATPase
PFDSM3638_RS04870	PFDSM3638_04845	PF0964	hypothetical protein
PFDSM3638_RS04875	PFDSM3638_04850	PF0965	pyruvate ferredoxin oxidoreductase
PFDSM3638_RS04880	PFDSM3638_04855	PF0966	pyruvate ferredoxin oxidoreductase
PFDSM3638_RS04885	PFDSM3638_04860	PF0967	pyruvate ferredoxin oxidoreductase
PFDSM3638_RS04890	PFDSM3638_04865	PF0968	2-ketoisovalerate ferredoxin oxidoreductase
PFDSM3638_RS04895	PFDSM3638_04870	PF0969	pyruvate ferredoxin oxidoreductase
PFDSM3638_RS04900	PFDSM3638_04875	PF0970	2-ketoisovalerate ferredoxin oxidoreductase
PFDSM3638_RS04905	PFDSM3638_04880	PF0971	pyruvate ferredoxin oxidoreductase
PFDSM3638_RS04910	PFDSM3638_04885	PF0972	hydroxymethylglutaryl-CoA synthase
PFDSM3638_RS04915	PFDSM3638_04890	PF0973	acetyl-CoA acetyltransferase
PFDSM3638_RS04920	PFDSM3638_04895	PF0974	transcriptional regulator
PFDSM3638_RS04925	PFDSM3638_04900	PF0975	protein frxA
PFDSM3638_RS04930	PFDSM3638_04905	PF0976	hypothetical protein
PFDSM3638_RS04935	PFDSM3638_04910	PF0977	DUF340 domain-containing protein
PFDSM3638_RS04945	PFDSM3638_04920	PF0979	ATP:cob(I)alamin adenosyltransferase
PFDSM3638_RS04950	PFDSM3638_04925	PF0980	aspartate racemase
PFDSM3638_RS04960	PFDSM3638_04935	PF0981	MFS transporter
PFDSM3638_RS04965	PFDSM3638_04940	PF0982	hypothetical protein
PFDSM3638_RS04970	PFDSM3638_04945	PF0983	DNA polymerase III sliding clamp
PFDSM3638_RS04975	PFDSM3638_04950	PF0984	hypothetical protein
PFDSM3638_RS04980	PFDSM3638_04955	PF0986	transcription factor S
PFDSM3638_RS04985	PFDSM3638_04960	NA	NA
PFDSM3638_RS04990	PFDSM3638_04965	PF0987	endonuclease V
PFDSM3638_RS04995	PFDSM3638_04970	PF0988	riboflavin kinase
PFDSM3638_RS05000	PFDSM3638_04975	PF0989	phenylalanine--tRNA ligase subunit alpha
PFDSM3638_RS05005	PFDSM3638_04980	PF0990	phenylalanine--tRNA ligase subunit beta
PFDSM3638_RS05010	PFDSM3638_04985	PF0991	L-threonine 3-dehydrogenase
PFDSM3638_RS05015	PFDSM3638_04990	PF0992	type II secretion protein F
PFDSM3638_RS05020	PFDSM3638_04995	PF0993	type II secretion protein F
PFDSM3638_RS05025	PFDSM3638_05000	PF0994	secretion system protein
PFDSM3638_RS05030	PFDSM3638_05005	PF0995	hypothetical protein
PFDSM3638_RS05035	PFDSM3638_05010	PF0996	DUF515 domain-containing protein
PFDSM3638_RS05040	PFDSM3638_05015	PF0997	TIGR04076 family protein
PFDSM3638_RS05045	PFDSM3638_05020	PF0998	GTP-binding protein
PFDSM3638_RS05050	PFDSM3638_05025	PF1000	ABC transporter permease
PFDSM3638_RS05055	PFDSM3638_05030	PF1001	ABC transporter permease
PFDSM3638_RS05060	PFDSM3638_05035	PF1002	class I SAM-dependent RNA methyltransferase
PFDSM3638_RS05065	PFDSM3638_05040	PF1003	phosphate ABC transporter substrate-binding protein PstS
PFDSM3638_RS05070	PFDSM3638_05045	PF1004	alkaline phosphatase
PFDSM3638_RS05075	PFDSM3638_05050	PF1005	sugar phosphate isomerase/epimerase
PFDSM3638_RS05080	PFDSM3638_05055	PF1006	phosphate ABC transporter permease subunit PstC
PFDSM3638_RS05085	PFDSM3638_05060	PF1007	phosphate ABC transporter, permease protein PstA
PFDSM3638_RS05090	PFDSM3638_05065	PF1008	phosphate ABC transporter ATP-binding protein
PFDSM3638_RS05095	PFDSM3638_05070	PF1009	phosphate transporter PhoU
PFDSM3638_RS05100	PFDSM3638_05075	PF1010	PhoU family transcriptional regulator
PFDSM3638_RS05105	PFDSM3638_05080	PF1011	ABC transporter ATP-binding protein
PFDSM3638_RS05110	PFDSM3638_05085	PF1012	ABC transporter permease
PFDSM3638_RS05115	PFDSM3638_05090	PF1013	hypothetical protein
PFDSM3638_RS05120	PFDSM3638_05095	PF1014	hypothetical protein
PFDSM3638_RS05125	PFDSM3638_05105	PF1015	transposase
PFDSM3638_RS10615		NA	NA
PFDSM3638_RS05130	PFDSM3638_05110	PF1016	FAA hydrolase family protein
PFDSM3638_RS05135	PFDSM3638_05115	PF1017	acyltransferase
PFDSM3638_RS05140	PFDSM3638_05120	PF1019	exonuclease SbcD
PFDSM3638_RS05145	PFDSM3638_05125	PF1020	phosphate permease
PFDSM3638_RS05150	PFDSM3638_05130	PF1021	TIGR00153 family protein
PFDSM3638_RS05155	PFDSM3638_05135	PF1022	AsnC family transcriptional regulator
PFDSM3638_RS05160	PFDSM3638_05140	PF1023	IS6 family transposase ISPfu5
PFDSM3638_RS05165	PFDSM3638_05145	PF1024	cysteine--tRNA ligase
PFDSM3638_RS05170	PFDSM3638_05150	PF1025	hypothetical protein
PFDSM3638_RS05175	PFDSM3638_05155	PF1026	NAD-dependent malic enzyme
PFDSM3638_RS05180	PFDSM3638_05160	PF1027	site-specific DNA-methyltransferase
PFDSM3638_RS05185	PFDSM3638_05165	PF1028	hypothetical protein
PFDSM3638_RS05190	PFDSM3638_05170	PF1029	transcriptional regulator
PFDSM3638_RS05195	PFDSM3638_05175	PF1030	methionine--tRNA ligase
PFDSM3638_RS05200	PFDSM3638_05180	PF1031	divalent-cation tolerance protein CutA
PFDSM3638_RS05205	PFDSM3638_05185	PF1032	Nonsense-mediated mRNA decay NMD3 like protein
PFDSM3638_RS05210	PFDSM3638_05190	PF1033	peroxiredoxin
PFDSM3638_RS05215	PFDSM3638_05195	PF1034	orotate phosphoribosyltransferase
PFDSM3638_RS05220	PFDSM3638_05200	PF1035	50S ribosomal protein L21e
PFDSM3638_RS05225	PFDSM3638_05205	PF1036	DNA-directed RNA polymerase subunit F
PFDSM3638_RS05230	PFDSM3638_05210	PF1037	hypothetical protein
PFDSM3638_RS05235	PFDSM3638_05215	PF1038	hypothetical protein
PFDSM3638_RS05240	PFDSM3638_05220	NA	NA
PFDSM3638_RS05245	PFDSM3638_05225	PF1040	DUF123 domain-containing protein
PFDSM3638_RS05250	PFDSM3638_05230	PF1041	ATPase
PFDSM3638_RS05255	PFDSM3638_05235	PF1042	rubrerythrin family protein
PFDSM3638_RS05260	PFDSM3638_05240	PF1043	hypothetical protein
PFDSM3638_RS05265	PFDSM3638_05245	PF1044	DUF2258 domain-containing protein
PFDSM3638_RS05270	PFDSM3638_05250	PF1045	adenylate kinase
PFDSM3638_RS05275	PFDSM3638_05255	PF1046	tRNA-guanine(15) transglycosylase
PFDSM3638_RS05280	PFDSM3638_05260	PF1047	hypothetical protein
PFDSM3638_RS05285	PFDSM3638_05265	PF1048	alkaline phosphatase family protein
PFDSM3638_RS05290	PFDSM3638_05270	PF1049	radical SAM protein
PFDSM3638_RS05295	PFDSM3638_05275	PF1050	hypothetical protein
PFDSM3638_RS05300	PFDSM3638_05280	PF1051	helicase
PFDSM3638_RS05305	PFDSM3638_05285	PF1052	aspartate kinase
PFDSM3638_RS05310	PFDSM3638_05290	NA	NA
PFDSM3638_RS05315	PFDSM3638_05295	PF1054	homoserine kinase
PFDSM3638_RS05320	PFDSM3638_05300	PF1055	threonine synthase
PFDSM3638_RS05325	PFDSM3638_05305	PF1056	aspartate-semialdehyde dehydrogenase
PFDSM3638_RS05330	PFDSM3638_05310	PF1057	phosphoglycerate kinase
PFDSM3638_RS05335	PFDSM3638_05315	PF1058	CDP-alcohol phosphatidyltransferase
PFDSM3638_RS05340	PFDSM3638_05320	PF1059	methyltransferase
PFDSM3638_RS05345	PFDSM3638_05325	PF1060	hypothetical protein
PFDSM3638_RS05350	PFDSM3638_05330	PF1061	thiamine biosynthesis protein ThiS
PFDSM3638_RS05355	PFDSM3638_05335	PF1062	hypothetical protein
PFDSM3638_RS05360	PFDSM3638_05340	PF1063	diphthamide biosynthesis enzyme Dph2
PFDSM3638_RS05365	PFDSM3638_05345	PF1064	hypothetical protein
PFDSM3638_RS05370	PFDSM3638_05350	PF1065	Nif3-like dinuclear metal center hexameric protein
PFDSM3638_RS05375	PFDSM3638_05355	PF1066	aminotransferase class V-fold PLP-dependent enzyme
PFDSM3638_RS05380	PFDSM3638_05360	PF1069	30S ribosomal protein S8e
PFDSM3638_RS05385	PFDSM3638_05365	PF1070	metalloprotease
PFDSM3638_RS05390	PFDSM3638_05370	PF1071	asparagine synthase
PFDSM3638_RS05395	PFDSM3638_05375	PF1072	ArsR family transcriptional regulator
PFDSM3638_RS05400	PFDSM3638_05380	PF1073	hypothetical protein
PFDSM3638_RS05405	PFDSM3638_05385	PF1074	hypothetical protein
PFDSM3638_RS05410	PFDSM3638_05390	PF1075	sulfite exporter TauE/SafE family protein
PFDSM3638_RS05415	PFDSM3638_05395	PF1076	TldD-like protein
PFDSM3638_RS05420	PFDSM3638_05400	PF1077	TldE-like protein
PFDSM3638_RS05430	PFDSM3638_05410	PF1080	hypothetical protein
PFDSM3638_RS05435	PFDSM3638_05415	PF1081	hypothetical protein
PFDSM3638_RS05440	PFDSM3638_05420	PF1083	oxidoreductase
PFDSM3638_RS05445	PFDSM3638_05425	PF1084	phosphopantetheine adenylyltransferase
PFDSM3638_RS05450	PFDSM3638_05430	PF1085	CoA-binding protein
PFDSM3638_RS05455	PFDSM3638_05435	PF1085.1n	hypothetical protein
PFDSM3638_RS05460	PFDSM3638_05440	PF1086	DUF371 domain-containing protein
PFDSM3638_RS05465	PFDSM3638_05445	PF1087	hypothetical protein
PFDSM3638_RS05470	PFDSM3638_05450	PF1088	transcriptional regulator
PFDSM3638_RS05475	PFDSM3638_05455	PF1089	hypothetical protein
PFDSM3638_RS05480	PFDSM3638_05460	PF1090	ABC transporter ATP-binding protein
PFDSM3638_RS05485	PFDSM3638_05465	PF1091	hypothetical protein
PFDSM3638_RS05490	PFDSM3638_05470	PF1092	hypothetical protein
PFDSM3638_RS05495	PFDSM3638_05475	PF1093	hypothetical protein
